step 1630/9201 (17.7%) | loss 1.9943 | lr 1.91e-04 | ETA 431.8min
step 1640/9201 (17.8%) | loss 1.9324 | lr 1.91e-04 | ETA 429.6min
step 1650/9201 (17.9%) | loss 1.8917 | lr 1.91e-04 | ETA 430.4min
step 1660/9201 (18.0%) | loss 1.7805 | lr 1.91e-04 | ETA 426.3min
step 1670/9201 (18.2%) | loss 1.8943 | lr 1.91e-04 | ETA 431.1min
step 1680/9201 (18.3%) | loss 1.8063 | lr 1.91e-04 | ETA 431.5min
step 1690/9201 (18.4%) | loss 1.8515 | lr 1.90e-04 | ETA 432.7min
step 1700/9201 (18.5%) | loss 1.9844 | lr 1.90e-04 | ETA 430.3min
step 1710/9201 (18.6%) | loss 1.8888 | lr 1.90e-04 | ETA 426.4min
step 1720/9201 (18.7%) | loss 1.9542 | lr 1.90e-04 | ETA 425.3min
step 1730/9201 (18.8%) | loss 1.7558 | lr 1.90e-04 | ETA 424.4min
step 1740/9201 (18.9%) | loss 1.9578 | lr 1.90e-04 | ETA 424.6min
step 1750/9201 (19.0%) | loss 1.9009 | lr 1.89e-04 | ETA 423.9min
step 1760/9201 (19.1%) | loss 2.0097 | lr 1.89e-04 | ETA 428.4min
step 1770/9201 (19.2%) | loss 1.9051 | lr 1.89e-04 | ETA 429.2min
step 1780/9201 (19.3%) | loss 2.0330 | lr 1.89e-04 | ETA 426.1min
step 1790/9201 (19.5%) | loss 1.9921 | lr 1.89e-04 | ETA 419.9min
step 1800/9201 (19.6%) | loss 2.0504 | lr 1.89e-04 | ETA 420.4min
step 1810/9201 (19.7%) | loss 1.9176 | lr 1.88e-04 | ETA 421.2min
step 1820/9201 (19.8%) | loss 1.8533 | lr 1.88e-04 | ETA 425.8min
step 1830/9201 (19.9%) | loss 1.9346 | lr 1.88e-04 | ETA 426.9min
step 1840/9201 (20.0%) | loss 1.8357 | lr 1.88e-04 | ETA 424.8min
step 1850/9201 (20.1%) | loss 1.9197 | lr 1.88e-04 | ETA 425.2min
step 1860/9201 (20.2%) | loss 2.0676 | lr 1.88e-04 | ETA 421.2min
